▲ Next.js 16.2.6 (webpack)
- Local:         http://localhost:3002
- Network:       http://28.0.0.1:3002
- Environments: .env.local
✓ Ready in 409ms

○ Compiling / ...
 GET /content/trust 200 in 26ms (next.js: 1844µs, application-code: 24ms)
 GET /content/trust 200 in 47ms (next.js: 6ms, application-code: 42ms)
 GET /content/trust 200 in 29ms (next.js: 1904µs, application-code: 27ms)
 GET /content/i18n 200 in 28ms (next.js: 1662µs, application-code: 26ms)
 GET /content/i18n 200 in 30ms (next.js: 3ms, application-code: 26ms)
 GET /content/i18n 200 in 33ms (next.js: 2ms, application-code: 31ms)
 GET /content/i18n 200 in 32ms (next.js: 1963µs, application-code: 30ms)
 GET /service/overview 200 in 30ms (next.js: 2ms, application-code: 28ms)
 GET /service/overview 200 in 28ms (next.js: 1804µs, application-code: 27ms)
 GET /service/tickets 200 in 29ms (next.js: 2ms, application-code: 27ms)
 GET /service/tickets 200 in 30ms (next.js: 7ms, application-code: 23ms)
 GET /service/sessions 200 in 27ms (next.js: 1658µs, application-code: 25ms)
 GET /service/sessions 200 in 39ms (next.js: 1935µs, application-code: 37ms)
 GET /service/sessions 200 in 26ms (next.js: 1620µs, application-code: 25ms)
 GET /service/kb-sla 200 in 28ms (next.js: 3ms, application-code: 26ms)
 GET /service/kb-sla 200 in 34ms (next.js: 2ms, application-code: 31ms)
 GET /service/scripts 200 in 33ms (next.js: 3ms, application-code: 30ms)
 GET /service/scripts 200 in 32ms (next.js: 2ms, application-code: 30ms)
 GET /platform/params-registry 200 in 886ms (next.js: 576ms, application-code: 311ms)
 GET /platform/params-registry 200 in 194ms (next.js: 2ms, application-code: 192ms)
 GET /platform/params-registry 200 in 196ms (next.js: 1930µs, application-code: 195ms)
 GET /finance/params 200 in 902ms (next.js: 779ms, application-code: 124ms)
 GET /finance/params 200 in 30ms (next.js: 1536µs, application-code: 28ms)
 GET /finance/params 200 in 26ms (next.js: 1789µs, application-code: 24ms)
 GET /finance/params 200 in 24ms (next.js: 1936µs, application-code: 22ms)
 GET / 200 in 36ms (next.js: 9ms, application-code: 27ms)
 GET /finance/recon 200 in 107ms (next.js: 65ms, application-code: 42ms)
 GET /finance/recon 200 in 34ms (next.js: 2ms, application-code: 32ms)
 GET /overview/dual-ledger 200 in 57ms (next.js: 16ms, application-code: 41ms)
 GET /finance/withdrawals 200 in 129ms (next.js: 97ms, application-code: 32ms)
 GET /finance/withdrawals 200 in 26ms (next.js: 3ms, application-code: 23ms)
 GET /overview/dual-ledger 200 in 25ms (next.js: 1734µs, application-code: 23ms)
 GET /overview/dual-ledger 200 in 26ms (next.js: 1761µs, application-code: 24ms)
 GET /overview/dual-ledger 200 in 24ms (next.js: 1603µs, application-code: 23ms)
 GET / 200 in 23ms (next.js: 1780µs, application-code: 21ms)
 GET /finance/withdrawals 200 in 23ms (next.js: 2ms, application-code: 21ms)
 GET /finance/withdrawals 200 in 27ms (next.js: 3ms, application-code: 24ms)
 GET / 200 in 22ms (next.js: 1752µs, application-code: 20ms)
 GET / 200 in 26ms (next.js: 2ms, application-code: 24ms)
 GET /platform/rbac 200 in 36ms (next.js: 7ms, application-code: 29ms)
 GET /overview/liquidity 200 in 756ms (next.js: 641ms, application-code: 115ms)
 GET /network/royalty 200 in 105ms (next.js: 62ms, application-code: 43ms)
 GET /devices/pricing 200 in 26ms (next.js: 1552µs, application-code: 24ms)
 GET /finance-products/staking 200 in 30ms (next.js: 1968µs, application-code: 28ms)
 GET /risk/multi-account 200 in 27ms (next.js: 3ms, application-code: 24ms)
 GET /risk/abuse 200 in 26ms (next.js: 2ms, application-code: 23ms)
 GET /risk/withdrawal-rules 200 in 26ms (next.js: 1593µs, application-code: 24ms)
 GET /risk/scoring 200 in 26ms (next.js: 1723µs, application-code: 25ms)
 GET /risk/kyc-review 200 in 25ms (next.js: 1628µs, application-code: 24ms)
 GET /risk/janus-c2 200 in 27ms (next.js: 1545µs, application-code: 25ms)
 GET /finance/recon 200 in 32ms (next.js: 5ms, application-code: 27ms)
 GET /finance/recon 200 in 39ms (next.js: 2ms, application-code: 36ms)
 GET /finance/pool 200 in 29ms (next.js: 1459µs, application-code: 27ms)
 GET /finance/pool 200 in 29ms (next.js: 3ms, application-code: 25ms)
 GET /finance/ledger 200 in 26ms (next.js: 1852µs, application-code: 24ms)
 GET /finance/ledger 200 in 30ms (next.js: 1905µs, application-code: 28ms)
 GET /finance-products/staking 200 in 30ms (next.js: 1738µs, application-code: 28ms)
 GET /finance-products/staking 200 in 31ms (next.js: 4ms, application-code: 27ms)
 GET /finance-products/exchange 200 in 30ms (next.js: 3ms, application-code: 27ms)
 GET /finance-products/exchange 200 in 31ms (next.js: 5ms, application-code: 25ms)
 GET /finance-products/market 200 in 28ms (next.js: 1590µs, application-code: 26ms)
 GET /finance-products/market 200 in 27ms (next.js: 2ms, application-code: 25ms)
 GET /finance-products/market 200 in 34ms (next.js: 1591µs, application-code: 32ms)
 GET /finance-products/genesis 200 in 24ms (next.js: 1627µs, application-code: 22ms)
 GET /finance-products/genesis 200 in 25ms (next.js: 2ms, application-code: 23ms)
 GET /finance-products/repurchase 200 in 29ms (next.js: 2ms, application-code: 27ms)
 GET /devices/compute-config 200 in 30ms (next.js: 13ms, application-code: 17ms)
 GET /risk/janus-c2 200 in 20ms (next.js: 6ms, application-code: 15ms)
 GET /risk/janus-c2 200 in 57ms (next.js: 9ms, application-code: 48ms)
 GET /risk/janus-c2 200 in 29ms (next.js: 2ms, application-code: 27ms)
 GET / 200 in 51ms (next.js: 20ms, application-code: 31ms)
 GET /risk/janus-c2 200 in 36ms (next.js: 7ms, application-code: 29ms)
 GET /favicon.ico 200 in 20ms (next.js: 4ms, application-code: 15ms)
 POST /api/admin/auth/login 200 in 1371ms (next.js: 1349ms, application-code: 22ms)
 GET /finance-products/staking 200 in 233ms (next.js: 78ms, application-code: 155ms)
 GET /risk/janus-c2 200 in 36ms (next.js: 6ms, application-code: 30ms)
 GET /finance-products/staking 200 in 34ms (next.js: 6ms, application-code: 28ms)
 GET /platform/params-registry 200 in 697ms (next.js: 340ms, application-code: 358ms)
 GET /finance-products/staking 200 in 85ms (next.js: 57ms, application-code: 28ms)
 GET /finance-products/staking 200 in 39ms (next.js: 8ms, application-code: 31ms)
 GET /risk/janus-c2 200 in 31ms (next.js: 9ms, application-code: 22ms)
 GET /risk/janus-c2 200 in 249ms (next.js: 189ms, application-code: 60ms)
 GET /risk/janus-c2 200 in 171ms (next.js: 132ms, application-code: 39ms)
 GET /devices/compute-config 200 in 146ms (next.js: 15ms, application-code: 132ms)
 GET /risk/janus-c2 200 in 36ms (next.js: 3ms, application-code: 34ms)
 GET /devices/compute-config 200 in 49ms (next.js: 6ms, application-code: 43ms)
 GET /devices/compute-config 200 in 40ms (next.js: 7ms, application-code: 32ms)
 POST /api/admin/auth/login 200 in 1444ms (next.js: 1387ms, application-code: 56ms)
 GET /devices/compute-config 200 in 1598ms (next.js: 1377ms, application-code: 221ms)
 GET /risk/janus-c2 200 in 48ms (next.js: 4ms, application-code: 43ms)
 GET /devices/compute-config 200 in 26ms (next.js: 1643µs, application-code: 24ms)
 GET /risk/janus-c2 200 in 37ms (next.js: 5ms, application-code: 32ms)
 GET /devices/compute-config 200 in 38ms (next.js: 7ms, application-code: 31ms)
 GET /risk/janus-c2 200 in 218ms (next.js: 171ms, application-code: 47ms)
 GET /risk/janus-c2 200 in 35ms (next.js: 8ms, application-code: 27ms)
 GET /platform/rbac 200 in 152ms (next.js: 6ms, application-code: 146ms)
 GET / 200 in 48ms (next.js: 16ms, application-code: 32ms)
 GET / 200 in 26ms (next.js: 1638µs, application-code: 24ms)
 GET / 200 in 27ms (next.js: 1847µs, application-code: 25ms)
 GET / 200 in 30ms (next.js: 2ms, application-code: 28ms)
 GET / 200 in 24ms (next.js: 1915µs, application-code: 22ms)
 GET / 200 in 23ms (next.js: 1684µs, application-code: 22ms)
 GET / 200 in 21ms (next.js: 1531µs, application-code: 19ms)
 GET / 200 in 21ms (next.js: 1632µs, application-code: 19ms)
 GET /overview/dual-ledger 200 in 1272ms (next.js: 1154ms, application-code: 118ms)
 GET /overview/dual-ledger 200 in 25ms (next.js: 2ms, application-code: 23ms)
 GET /overview/dual-ledger 200 in 28ms (next.js: 3ms, application-code: 25ms)
 GET /finance/withdrawals 200 in 572ms (next.js: 473ms, application-code: 99ms)
 GET /finance/withdrawals 200 in 26ms (next.js: 1604µs, application-code: 24ms)
 GET /finance/withdrawals 200 in 28ms (next.js: 2ms, application-code: 26ms)
 GET /finance/withdrawals 200 in 25ms (next.js: 1689µs, application-code: 23ms)
 GET /finance/withdrawals 200 in 25ms (next.js: 2ms, application-code: 22ms)
 GET /users/search/U-88421 200 in 618ms (next.js: 520ms, application-code: 98ms)
 GET /users/search 200 in 515ms (next.js: 430ms, application-code: 84ms)
 GET /users/search 200 in 27ms (next.js: 1715µs, application-code: 25ms)
 GET /users/search 200 in 33ms (next.js: 1587µs, application-code: 32ms)
 GET /users/search 200 in 24ms (next.js: 1624µs, application-code: 23ms)
 GET /users/search 200 in 24ms (next.js: 2ms, application-code: 22ms)
 GET /users/actions 200 in 126ms (next.js: 96ms, application-code: 31ms)
 GET /users/actions 200 in 26ms (next.js: 1557µs, application-code: 24ms)
 GET /users/actions 200 in 25ms (next.js: 1887µs, application-code: 24ms)
 GET /users/assets 200 in 26ms (next.js: 1567µs, application-code: 24ms)
 GET /users/assets 200 in 26ms (next.js: 2ms, application-code: 24ms)
 GET /users/assets 200 in 26ms (next.js: 1981µs, application-code: 25ms)
 GET /users/kyc 200 in 24ms (next.js: 1798µs, application-code: 22ms)
 GET /users/kyc 200 in 24ms (next.js: 1590µs, application-code: 22ms)
 GET /users/security 200 in 37ms (next.js: 1993µs, application-code: 35ms)
 GET /users/security 200 in 28ms (next.js: 5ms, application-code: 23ms)
 GET /users/reg-risk 200 in 24ms (next.js: 1489µs, application-code: 22ms)
 GET /users/reg-risk 200 in 24ms (next.js: 1584µs, application-code: 22ms)
 GET /users/search/U-88421 200 in 52ms (next.js: 14ms, application-code: 38ms)
 GET /users/search/U-88421 200 in 29ms (next.js: 2ms, application-code: 27ms)
 GET /users/search/U-88421 200 in 28ms (next.js: 3ms, application-code: 24ms)
 GET /users/search/U-88421 200 in 29ms (next.js: 1629µs, application-code: 27ms)
 GET /users/search/U-88421 200 in 33ms (next.js: 2ms, application-code: 31ms)
 GET /users/search/U-88421 200 in 27ms (next.js: 3ms, application-code: 24ms)
 GET /users/search/U-88421 200 in 27ms (next.js: 1696µs, application-code: 25ms)
 GET /users/search/U-88421 200 in 40ms (next.js: 6ms, application-code: 34ms)
 GET /users/search/U-88421 200 in 26ms (next.js: 1792µs, application-code: 24ms)
 GET /users/search/U-88421 200 in 24ms (next.js: 1736µs, application-code: 22ms)
 GET /users/search/U-88421 200 in 23ms (next.js: 1477µs, application-code: 22ms)
 GET /users/search/U-88421 200 in 25ms (next.js: 2ms, application-code: 23ms)
 GET /users/search/U-88421 200 in 24ms (next.js: 1589µs, application-code: 23ms)
 GET /users/search/U-88421 200 in 23ms (next.js: 1591µs, application-code: 21ms)
 GET /users/search/U-88421 200 in 27ms (next.js: 3ms, application-code: 24ms)
 GET /platform/rbac 200 in 34ms (next.js: 6ms, application-code: 28ms)
 GET /platform/rbac 200 in 25ms (next.js: 1962µs, application-code: 23ms)
 GET /platform/rbac 200 in 25ms (next.js: 1620µs, application-code: 24ms)
 GET /platform/rbac 200 in 31ms (next.js: 1712µs, application-code: 29ms)
 GET /platform/audit 200 in 24ms (next.js: 1872µs, application-code: 22ms)
 GET /platform/audit 200 in 25ms (next.js: 1780µs, application-code: 23ms)
 GET /platform/audit 200 in 23ms (next.js: 1433µs, application-code: 22ms)
 GET /platform/audit 200 in 28ms (next.js: 2ms, application-code: 25ms)
 GET /platform/config 200 in 26ms (next.js: 1724µs, application-code: 24ms)
 GET /platform/config 200 in 29ms (next.js: 6ms, application-code: 22ms)
 GET /platform/config 200 in 25ms (next.js: 1973µs, application-code: 23ms)
 GET /platform/config 200 in 27ms (next.js: 1537µs, application-code: 26ms)
 GET /platform/events 200 in 31ms (next.js: 3ms, application-code: 28ms)
 GET /platform/events 200 in 26ms (next.js: 2ms, application-code: 24ms)
 GET /platform/events 200 in 24ms (next.js: 1606µs, application-code: 22ms)
 GET /platform/events 200 in 27ms (next.js: 3ms, application-code: 24ms)
 GET /content/copy-ab 200 in 25ms (next.js: 1871µs, application-code: 24ms)
 GET /content/copy-ab 200 in 24ms (next.js: 1549µs, application-code: 22ms)
 GET /content/copy-ab 200 in 28ms (next.js: 6ms, application-code: 22ms)
 GET /content/nova 200 in 26ms (next.js: 1576µs, application-code: 24ms)
 GET /content/nova 200 in 24ms (next.js: 2ms, application-code: 22ms)
 GET /content/nova 200 in 28ms (next.js: 1766µs, application-code: 26ms)
 GET /content/notifications 200 in 28ms (next.js: 1851µs, application-code: 26ms)
 GET /content/notifications 200 in 25ms (next.js: 2ms, application-code: 23ms)
 GET /content/notifications 200 in 24ms (next.js: 1633µs, application-code: 23ms)
 GET /content/trust 200 in 24ms (next.js: 3ms, application-code: 22ms)
 GET /content/trust 200 in 38ms (next.js: 2ms, application-code: 36ms)
 GET /content/trust 200 in 28ms (next.js: 5ms, application-code: 23ms)
 GET /content/trust 200 in 25ms (next.js: 1908µs, application-code: 23ms)
 GET /content/i18n 200 in 25ms (next.js: 1632µs, application-code: 23ms)
 GET /content/i18n 200 in 27ms (next.js: 2ms, application-code: 25ms)
 GET /content/i18n 200 in 24ms (next.js: 1605µs, application-code: 22ms)
 GET /content/i18n 200 in 27ms (next.js: 1888µs, application-code: 25ms)
 GET /service/overview 200 in 29ms (next.js: 1829µs, application-code: 27ms)
 GET /service/overview 200 in 25ms (next.js: 1634µs, application-code: 24ms)
 GET /service/tickets 200 in 25ms (next.js: 1606µs, application-code: 23ms)
 GET /service/tickets 200 in 30ms (next.js: 6ms, application-code: 24ms)
 GET /service/sessions 200 in 37ms (next.js: 3ms, application-code: 34ms)
 GET /service/sessions 200 in 26ms (next.js: 1569µs, application-code: 24ms)
 GET /service/sessions 200 in 25ms (next.js: 1698µs, application-code: 23ms)
 GET /service/kb-sla 200 in 28ms (next.js: 1878µs, application-code: 27ms)
 GET /service/kb-sla 200 in 24ms (next.js: 1736µs, application-code: 22ms)
 GET /service/scripts 200 in 23ms (next.js: 1535µs, application-code: 21ms)
 GET /service/scripts 200 in 26ms (next.js: 1660µs, application-code: 24ms)
 GET /platform/params-registry 200 in 749ms (next.js: 425ms, application-code: 324ms)
 GET /platform/params-registry 200 in 189ms (next.js: 3ms, application-code: 186ms)
 GET /platform/params-registry 200 in 184ms (next.js: 1674µs, application-code: 182ms)
 GET /finance/params 200 in 580ms (next.js: 497ms, application-code: 83ms)
 GET /finance/params 200 in 24ms (next.js: 1751µs, application-code: 23ms)
 GET /finance/params 200 in 25ms (next.js: 3ms, application-code: 23ms)
 GET /finance/params 200 in 26ms (next.js: 1650µs, application-code: 24ms)
 GET / 200 in 42ms (next.js: 14ms, application-code: 29ms)
 GET /finance/recon 200 in 97ms (next.js: 64ms, application-code: 33ms)
 GET /finance/recon 200 in 28ms (next.js: 2ms, application-code: 26ms)
 GET /overview/dual-ledger 200 in 52ms (next.js: 16ms, application-code: 35ms)
 GET /finance/withdrawals 200 in 138ms (next.js: 99ms, application-code: 39ms)
 GET /finance/withdrawals 200 in 27ms (next.js: 1620µs, application-code: 25ms)
 GET /overview/dual-ledger 200 in 27ms (next.js: 1759µs, application-code: 26ms)
 GET /overview/dual-ledger 200 in 29ms (next.js: 2ms, application-code: 27ms)
 GET /overview/dual-ledger 200 in 23ms (next.js: 1708µs, application-code: 21ms)
 GET / 200 in 22ms (next.js: 1508µs, application-code: 20ms)
 GET /finance/withdrawals 200 in 25ms (next.js: 1605µs, application-code: 23ms)
 GET /finance/withdrawals 200 in 22ms (next.js: 2ms, application-code: 20ms)
 GET / 200 in 22ms (next.js: 1918µs, application-code: 20ms)
 GET / 200 in 21ms (next.js: 1604µs, application-code: 19ms)
 GET /platform/rbac 200 in 32ms (next.js: 5ms, application-code: 26ms)
 GET /overview/liquidity 200 in 625ms (next.js: 545ms, application-code: 80ms)
 GET /network/royalty 200 in 108ms (next.js: 57ms, application-code: 52ms)
 GET /devices/pricing 200 in 24ms (next.js: 1744µs, application-code: 22ms)
 GET /finance-products/staking 200 in 26ms (next.js: 3ms, application-code: 24ms)
 GET /risk/multi-account 200 in 26ms (next.js: 3ms, application-code: 23ms)
 GET /risk/abuse 200 in 25ms (next.js: 1939µs, application-code: 23ms)
 GET /risk/withdrawal-rules 200 in 26ms (next.js: 2ms, application-code: 24ms)
 GET /risk/scoring 200 in 24ms (next.js: 1720µs, application-code: 22ms)
 GET /risk/kyc-review 200 in 24ms (next.js: 1809µs, application-code: 22ms)
 GET /risk/janus-c2 200 in 30ms (next.js: 6ms, application-code: 24ms)
 GET /finance/recon 200 in 27ms (next.js: 1657µs, application-code: 25ms)
 GET /finance/recon 200 in 25ms (next.js: 1603µs, application-code: 23ms)
 GET /finance/pool 200 in 35ms (next.js: 1520µs, application-code: 33ms)
 GET /finance/pool 200 in 26ms (next.js: 1825µs, application-code: 24ms)
 GET /finance/ledger 200 in 29ms (next.js: 2ms, application-code: 27ms)
 GET /finance/ledger 200 in 25ms (next.js: 2ms, application-code: 22ms)
 GET /finance-products/staking 200 in 26ms (next.js: 3ms, application-code: 23ms)
 GET /finance-products/staking 200 in 26ms (next.js: 2ms, application-code: 24ms)
 GET /finance-products/exchange 200 in 28ms (next.js: 5ms, application-code: 22ms)
 GET /finance-products/exchange 200 in 24ms (next.js: 1462µs, application-code: 22ms)
 GET /finance-products/market 200 in 25ms (next.js: 2ms, application-code: 23ms)
 GET /finance-products/market 200 in 26ms (next.js: 1681µs, application-code: 25ms)
 GET /finance-products/market 200 in 27ms (next.js: 2ms, application-code: 25ms)
 GET /finance-products/genesis 200 in 26ms (next.js: 1574µs, application-code: 24ms)
 GET /finance-products/genesis 200 in 35ms (next.js: 1710µs, application-code: 33ms)
 GET /finance-products/repurchase 200 in 27ms (next.js: 1752µs, application-code: 25ms)
 GET /risk/janus-c2 200 in 29ms (next.js: 8ms, application-code: 21ms)
 GET /risk/janus-c2 200 in 39ms (next.js: 12ms, application-code: 27ms)
 GET /risk/janus-c2 200 in 27ms (next.js: 7ms, application-code: 19ms)
 GET /risk/janus-c2 200 in 25ms (next.js: 1920µs, application-code: 24ms)
 GET /risk/janus-c2 200 in 45ms (next.js: 4ms, application-code: 41ms)
 GET /risk/janus-c2 200 in 35ms (next.js: 16ms, application-code: 19ms)
 GET /risk/janus-c2 200 in 118ms (next.js: 4ms, application-code: 114ms)
 GET /risk/janus-c2 200 in 25ms (next.js: 6ms, application-code: 19ms)
 GET /risk/janus-c2 200 in 28ms (next.js: 8ms, application-code: 21ms)
 GET /risk/janus-c2 200 in 23ms (next.js: 2ms, application-code: 20ms)
 GET /risk/janus-c2 200 in 32ms (next.js: 4ms, application-code: 29ms)
 GET /risk/janus-c2 200 in 26ms (next.js: 6ms, application-code: 20ms)
 GET /risk/janus-c2 200 in 21ms (next.js: 3ms, application-code: 18ms)
 GET /risk/janus-c2 200 in 52ms (next.js: 3ms, application-code: 49ms)
 GET /devices/compute-config 200 in 40ms (next.js: 9ms, application-code: 31ms)
 GET /risk/janus-c2 200 in 29ms (next.js: 4ms, application-code: 25ms)
 GET /devices/compute-config 200 in 36ms (next.js: 6ms, application-code: 30ms)
 POST /api/admin/auth/login 200 in 995ms (next.js: 977ms, application-code: 17ms)
 GET /devices/compute-config 200 in 224ms (next.js: 134ms, application-code: 90ms)
 GET /risk/janus-c2 200 in 47ms (next.js: 2ms, application-code: 44ms)
 GET /devices/compute-config 200 in 31ms (next.js: 14ms, application-code: 17ms)
 GET /devices/compute-config 200 in 160ms (next.js: 6ms, application-code: 154ms)
 GET /devices/compute-config? 200 in 53ms (next.js: 3ms, application-code: 50ms)
 GET /devices/compute-config 200 in 41ms (next.js: 6ms, application-code: 35ms)
 GET /devices/compute-config 200 in 37ms (next.js: 7ms, application-code: 30ms)
 GET /devices/compute-config? 200 in 53ms (next.js: 2ms, application-code: 51ms)
 GET /devices/compute-config 200 in 27ms (next.js: 5ms, application-code: 22ms)
 GET /devices/compute-config 200 in 45ms (next.js: 7ms, application-code: 38ms)
 GET /devices/compute-config? 200 in 35ms (next.js: 1765µs, application-code: 33ms)
 GET /devices/compute-config 200 in 31ms (next.js: 5ms, application-code: 26ms)
 POST /api/admin/auth/login 200 in 16ms (next.js: 1690µs, application-code: 15ms)
 GET /devices/compute-config 200 in 33ms (next.js: 6ms, application-code: 27ms)
 POST /api/admin/auth/login 200 in 6ms (next.js: 1530µs, application-code: 5ms)
 GET /devices/compute-config 200 in 40ms (next.js: 6ms, application-code: 34ms)
 POST /api/admin/auth/login 200 in 8ms (next.js: 1962µs, application-code: 6ms)
 GET /devices/compute-config 200 in 37ms (next.js: 8ms, application-code: 29ms)
 POST /api/admin/auth/login 200 in 8ms (next.js: 1461µs, application-code: 7ms)
 GET /devices/compute-config 200 in 271ms (next.js: 225ms, application-code: 46ms)
 GET /devices/compute-config 200 in 146ms (next.js: 8ms, application-code: 138ms)
 GET /devices/compute-config 200 in 38ms (next.js: 6ms, application-code: 32ms)
